"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Azerbaijan","AZE","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21618.775390625","16153.1787109375","12027.796875","9400.634765625","8111.1630859375","8077.48095703125","8610.5244140625","9407.2109375","9734.2568359375","11386.806640625","12109.7001953125","12957.7216796875","13954","14825.580078125","18167.2421875","23737.349609375","28952.607421875","30786.78125","32663.390625","33734.28515625","33220.5078125","33233.046875","34410.30859375","34500.82421875","34245.0234375","33241.8515625","33479.67578125",
"Burundi","BDI","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2347.40698242188","2349.9619140625","2183.30004882813","2081.68408203125","1900.47705078125","1739.21105957031","1703.85205078125","1774.46301269531","1727.36596679688","1676.93200683594","1650.53698730469","1656.15600585938","1567.44104003906","1573.46105957031","1520.77905273438","1538.82995605469","1548.32104492188","1562.51000976563","1553.64099121094","1550.46203613281","1562.86694335938","1572.44702148438","1591.18395996094","1611.96899414063","1502.17297363281","1451.42504882813","1439.03698730469",
"Belgium","BEL","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82061.5703125","82322.8828125","82279.5546875","85089.0625","86111.078125","87533.9296875","89883.2578125","91282.40625","91442.15625","91651.6328125","93999.8671875","94286.8125","94997.5546875","95960.28125","96619.890625","98458.2890625","99160.3046875","98615.9765625","97033.0546875","98282.96875","99863.1796875","99695.296875","99392.5","100160.4375","100913.5390625","101705.1953125","102779.6328125",
"Benin","BEN","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3766.49291992188","3751.7451171875","3798.06103515625","3719.17993164063","3789.38989257813","3835.11010742188","3947.90502929688","3998.67797851563","4090.9560546875","4201.54296875","4284.78076171875","4337.84423828125","4342.90478515625","4350.19189453125","4271.14208984375","4302.06494140625","4414.78076171875","4485.14697265625","4446.44189453125","4396.5","4383.2880859375","4443.8291015625","4601.4638671875","4748.35986328125","4826.662109375","4894.876953125","5001.52880859375",
"Burkina Faso","BFA","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2043.54797363281","1985.376953125","2013.375","1969.97094726563","2020.91296386719","2182.55688476563","2252.544921875","2350.537109375","2449.5400390625","2422.82104492188","2501.81689453125","2557.208984375","2651.37890625","2706.81811523438","2873.25","2912.62109375","3012.43505859375","3131.88696289063","3120.85302734375","3278.7958984375","3384.8759765625","3492.34106445313","3504.56811523438","3526.8720703125","3545.28393554688","3608.84497070313","3699.80493164063",
"Bangladesh","BGD","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3042.125","3196.8701171875","3235.11108398438","3314.47705078125","3444.166015625","3495.7490234375","3650.07495117188","3647.5029296875","3791.18408203125","3836.51611328125","3972.22900390625","4066.59497070313","4243.77587890625","4417.93896484375","4646.2451171875","4930.2119140625","5217.4208984375","5449.048828125","5811.09521484375","6071.86083984375","6344.134765625","6631.77880859375","6883.52490234375","7157.35400390625","7478.9169921875","7832.97900390625","8204.8759765625",
"Bulgaria","BGR","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22320.98828125","19894.30859375","21962.55078125","22457.79296875","22420.62109375","22671.541015625","22963.806640625","23861.873046875","23539.64453125","25952.947265625","27438.41796875","28801.6640625","29330.3203125","30283.4609375","32362.064453125","33005.11328125","34006.38671875","34815.83984375","34535.921875","36833.16796875","38744.69140625","39208.56640625","39754.88671875","39801.703125","40293.875","41347.328125","43004.7734375",
"Bahrain","BHR","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89133.4765625","92017.2421875","100189.46875","96174.9609375","96133.03125","97673.0078125","97871.1015625","99225.859375","99696.6484375","100635.46875","97452.703125","95805.8828125","95636.65625","95235.6328125","92543.1953125","87578.7421875","84012.625","79558.34375","73898.3671875","71339.8671875","71320.046875","73243.328125","77189.6171875","80585.7734375","82276.5546875","83173.828125","83410.34375",
"Bahamas, The","BHS","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52538.265625","50329.1328125","48060.359375","48617.23828125","48760.57421875","51091.734375","51410.51171875","53061.4921875","55486.20703125","56166.45703125","55182.46484375","55960.5546875","54317.3203125","52483.2421875","52369.0234375","50570.171875","49889.0078125","47385.9296875","47116.97265625","46505.578125","45974.59765625","45755.953125","46028.48828125","45709.19921875","44226.140625","43376.22265625","43015.44140625",
"Bosnia and Herzegovina","BIH","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4623.8310546875","4666.64697265625","4572.123046875","5272.8818359375","6428.20703125","11908.0458984375","16073.6162109375","18656.01953125","20497.013671875","21687.294921875","24487.955078125","24216.373046875","23684.28125","26360.87109375","27432.34375","32854.11328125","32773.41015625","31381.138671875","30897.603515625","31995.87890625","32745.021484375","32282.818359375","32993.3203125","33512.83203125","34082.0078125","34990.48046875","36156.4140625",
